Международная классификация болезней – Онкология (3 издание). Морфологические коды,Международная классификация болезней – Онкология (3 издание). Морфологические коды,Международная классификация болезней – Онкология (3 издание). Топографические коды,Международная классификация болезней – Онкология (3 издание). Топографические коды
79,8094/3,265,C51.8
82,8097/3,265,C51.8
1145,8100/3,265,C51.8
86,8102/0,265,C51.8
78,8093/3,265,C51.8
88,8103/0,265,C51.8
1146,8103/1,265,C51.8
90,8110/3,265,C51.8
85,8101/0,265,C51.8
80,8095/3,265,C51.8
87,8102/3,266,C51.9
75,8090/3,266,C51.9
76,8091/3,266,C51.9
77,8092/3,266,C51.9
79,8094/3,266,C51.9
82,8097/3,266,C51.9
1145,8100/3,266,C51.9
86,8102/0,266,C51.9
78,8093/3,266,C51.9
88,8103/0,266,C51.9
1146,8103/1,266,C51.9
90,8110/3,266,C51.9
85,8101/0,266,C51.9
80,8095/3,266,C51.9
87,8102/3,298,C60.0
75,8090/3,298,C60.0
76,8091/3,298,C60.0
77,8092/3,298,C60.0
79,8094/3,298,C60.0
82,8097/3,298,C60.0
1145,8100/3,298,C60.0
86,8102/0,298,C60.0
78,8093/3,298,C60.0
88,8103/0,298,C60.0
1146,8103/1,298,C60.0
90,8110/3,298,C60.0
85,8101/0,298,C60.0
80,8095/3,298,C60.0
87,8102/3,299,C60.1
75,8090/3,299,C60.1
76,8091/3,299,C60.1
77,8092/3,299,C60.1
79,8094/3,299,C60.1
82,8097/3,299,C60.1
1145,8100/3,299,C60.1
86,8102/0,299,C60.1
78,8093/3,299,C60.1
88,8103/0,299,C60.1
1146,8103/1,299,C60.1
90,8110/3,299,C60.1
85,8101/0,299,C60.1
80,8095/3,299,C60.1
87,8102/3,300,C60.2
75,8090/3,300,C60.2
76,8091/3,300,C60.2
77,8092/3,300,C60.2
79,8094/3,300,C60.2
82,8097/3,300,C60.2
1145,8100/3,300,C60.2
86,8102/0,300,C60.2
78,8093/3,300,C60.2
88,8103/0,300,C60.2
1146,8103/1,300,C60.2
90,8110/3,300,C60.2
85,8101/0,300,C60.2
80,8095/3,300,C60.2
87,8102/3,301,C60.8
75,8090/3,301,C60.8
76,8091/3,301,C60.8
77,8092/3,301,C60.8
79,8094/3,301,C60.8
82,8097/3,301,C60.8
1145,8100/3,301,C60.8
86,8102/0,301,C60.8
78,8093/3,301,C60.8
88,8103/0,301,C60.8
1146,8103/1,301,C60.8
90,8110/3,301,C60.8
85,8101/0,301,C60.8
80,8095/3,301,C60.8
87,8102/3,302,C60.9
75,8090/3,302,C60.9
76,8091/3,302,C60.9
77,8092/3,302,C60.9
79,8094/3,302,C60.9
82,8097/3,302,C60.9
1145,8100/3,302,C60.9
86,8102/0,302,C60.9
78,8093/3,302,C60.9
88,8103/0,302,C60.9
1146,8103/1,302,C60.9
90,8110/3,302,C60.9
85,8101/0,302,C60.9
80,8095/3,302,C60.9
87,8102/3,312,C63.2
75,8090/3,312,C63.2
76,8091/3,312,C63.2
77,8092/3,312,C63.2
79,8094/3,312,C63.2
82,8097/3,312,C63.2
1145,8100/3,312,C63.2
86,8102/0,312,C63.2
78,8093/3,312,C63.2
88,8103/0,312,C63.2
1146,8103/1,312,C63.2
90,8110/3,312,C63.2
85,8101/0,312,C63.2
80,8095/3,312,C63.2
83,8098/3,270,C53.0
83,8098/3,271,C53.1
83,8098/3,272,C53.8
83,8098/3,273,C53.9
504,8746/3,3,C00.0
504,8746/3,4,C00.1
504,8746/3,5,C00.2
504,8746/3,6,C00.3
504,8746/3,7,C00.4
504,8746/3,8,C00.5
504,8746/3,9,C00.6
504,8746/3,10,C00.8
504,8746/3,11,C00.9
504,8746/3,13,C01.9
504,8746/3,15,C02.0
504,8746/3,16,C02.1
504,8746/3,17,C02.2
504,8746/3,18,C02.3
504,8746/3,19,C02.4
504,8746/3,20,C02.8
504,8746/3,21,C02.9
504,8746/3,23,C03.0
504,8746/3,24,C03.1
504,8746/3,25,C03.9
504,8746/3,27,C04.0
504,8746/3,28,C04.1
504,8746/3,29,C04.8
504,8746/3,30,C04.9
504,8746/3,32,C05.0
504,8746/3,33,C05.1
504,8746/3,34,C05.2
504,8746/3,35,C05.8
504,8746/3,36,C05.9
504,8746/3,38,C06.0
504,8746/3,39,C06.1
504,8746/3,40,C06.2
504,8746/3,41,C06.8
504,8746/3,42,C06.9
504,8746/3,51,C09.0
504,8746/3,52,C09.1
504,8746/3,53,C09.8
504,8746/3,54,C09.9
504,8746/3,56,C10.0
504,8746/3,57,C10.1
504,8746/3,58,C10.2
504,8746/3,59,C10.3
504,8746/3,60,C10.4
504,8746/3,61,C10.8
504,8746/3,62,C10.9
504,8746/3,64,C11.0
504,8746/3,65,C11.1
504,8746/3,66,C11.2
504,8746/3,67,C11.3
504,8746/3,68,C11.8
504,8746/3,69,C11.9
504,8746/3,84,C15.0
504,8746/3,85,C15.1
504,8746/3,86,C15.2
504,8746/3,87,C15.3
504,8746/3,88,C15.4
504,8746/3,89,C15.5
504,8746/3,90,C15.8
504,8746/3,91,C15.9
504,8746/3,123,C20.9
504,8746/3,125,C21.0
504,8746/3,126,C21.1
504,8746/3,127,C21.2
504,8746/3,128,C21.8
504,8746/3,154,C30.0
504,8746/3,155,C30.1
504,8746/3,157,C31.0
504,8746/3,158,C31.1
504,8746/3,159,C31.2
504,8746/3,160,C31.3
504,8746/3,161,C31.8
504,8746/3,162,C31.9
504,8746/3,335,C68.0
119,8147/3,3,C00.0
119,8147/3,4,C00.1
119,8147/3,5,C00.2
119,8147/3,6,C00.3
119,8147/3,7,C00.4
119,8147/3,8,C00.5
119,8147/3,9,C00.6
119,8147/3,10,C00.8
119,8147/3,11,C00.9
119,8147/3,13,C01.9
119,8147/3,15,C02.0
119,8147/3,16,C02.1
119,8147/3,17,C02.2
119,8147/3,18,C02.3
119,8147/3,19,C02.4
119,8147/3,20,C02.8
119,8147/3,21,C02.9
119,8147/3,23,C03.0
119,8147/3,24,C03.1
119,8147/3,25,C03.9
119,8147/3,27,C04.0
119,8147/3,28,C04.1
119,8147/3,29,C04.8
119,8147/3,30,C04.9
119,8147/3,32,C05.0
119,8147/3,33,C05.1
119,8147/3,34,C05.2
67,8078/3,3,C00.0
67,8078/3,4,C00.1
67,8078/3,5,C00.2
67,8078/3,6,C00.3
67,8078/3,7,C00.4
67,8078/3,8,C00.5
67,8078/3,9,C00.6
67,8078/3,10,C00.8
67,8078/3,11,C00.9
67,8078/3,13,C01.9
67,8078/3,15,C02.0
67,8078/3,16,C02.1
67,8078/3,17,C02.2
67,8078/3,18,C02.3
67,8078/3,19,C02.4
67,8078/3,20,C02.8
67,8078/3,21,C02.9
67,8078/3,23,C03.0
67,8078/3,24,C03.1
67,8078/3,25,C03.9
67,8078/3,27,C04.0
67,8078/3,28,C04.1
67,8078/3,29,C04.8
67,8078/3,30,C04.9
67,8078/3,32,C05.0
67,8078/3,33,C05.1
67,8078/3,34,C05.2
67,8078/3,35,C05.8
67,8078/3,36,C05.9
67,8078/3,38,C06.0
67,8078/3,39,C06.1
67,8078/3,40,C06.2
67,8078/3,41,C06.8
67,8078/3,42,C06.9
67,8078/3,44,C07.9
67,8078/3,46,C08.0
67,8078/3,47,C08.1
67,8078/3,48,C08.8
67,8078/3,49,C08.9
67,8078/3,51,C09.0
67,8078/3,52,C09.1
67,8078/3,53,C09.8
67,8078/3,54,C09.9
67,8078/3,56,C10.0
67,8078/3,57,C10.1
67,8078/3,58,C10.2
67,8078/3,59,C10.3
67,8078/3,60,C10.4
67,8078/3,61,C10.8
67,8078/3,62,C10.9
67,8078/3,64,C11.0
67,8078/3,65,C11.1
67,8078/3,66,C11.2
67,8078/3,67,C11.3
67,8078/3,68,C11.8
67,8078/3,69,C11.9
67,8078/3,71,C12.9
67,8078/3,73,C13.0
67,8078/3,74,C13.1
67,8078/3,75,C13.2
67,8078/3,76,C13.8
67,8078/3,77,C13.9
67,8078/3,79,C14.0
67,8078/3,80,C14.2
67,8078/3,81,C14.8
67,8078/3,84,C15.0
67,8078/3,85,C15.1
67,8078/3,86,C15.2
67,8078/3,87,C15.3
67,8078/3,88,C15.4
67,8078/3,89,C15.5
67,8078/3,90,C15.8
67,8078/3,91,C15.9
67,8078/3,125,C21.0
67,8078/3,126,C21.1
67,8078/3,127,C21.2
67,8078/3,128,C21.8
67,8078/3,154,C30.0
67,8078/3,155,C30.1
67,8078/3,157,C31.0
67,8078/3,158,C31.1
67,8078/3,159,C31.2
67,8078/3,160,C31.3
67,8078/3,161,C31.8
67,8078/3,162,C31.9
67,8078/3,164,C32.0
67,8078/3,165,C32.1
67,8078/3,166,C32.2
67,8078/3,167,C32.3
67,8078/3,168,C32.8
67,8078/3,169,C32.9
67,8078/3,215,C44.0
67,8078/3,216,C44.1
67,8078/3,217,C44.2
67,8078/3,218,C44.3
67,8078/3,219,C44.4
67,8078/3,220,C44.5
67,8078/3,221,C44.6
67,8078/3,222,C44.7
67,8078/3,223,C44.8
67,8078/3,224,C44.9
67,8078/3,262,C51.0
67,8078/3,263,C51.1
67,8078/3,264,C51.2
67,8078/3,265,C51.8
67,8078/3,266,C51.9
67,8078/3,268,C52.9
67,8078/3,270,C53.0
67,8078/3,271,C53.1
67,8078/3,272,C53.8
67,8078/3,273,C53.9
67,8078/3,298,C60.0
67,8078/3,299,C60.1
67,8078/3,300,C60.2
67,8078/3,301,C60.8
67,8078/3,302,C60.9
68,8080/2,298,C60.0
68,8080/2,299,C60.1
68,8080/2,300,C60.2
68,8080/2,301,C60.8
68,8080/2,302,C60.9
68,8080/2,262,C51.0
68,8080/2,263,C51.1
68,8080/2,264,C51.2
68,8080/2,265,C51.8
68,8080/2,266,C51.9
69,8081/2,3,C00.0
69,8081/2,4,C00.1
69,8081/2,5,C00.2
69,8081/2,6,C00.3
69,8081/2,7,C00.4
69,8081/2,8,C00.5
69,8081/2,9,C00.6
69,8081/2,10,C00.8
69,8081/2,11,C00.9
69,8081/2,154,C30.0
69,8081/2,155,C30.1
69,8081/2,215,C44.0
69,8081/2,216,C44.1
69,8081/2,217,C44.2
69,8081/2,218,C44.3
69,8081/2,219,C44.4
69,8081/2,220,C44.5
69,8081/2,221,C44.6
69,8081/2,222,C44.7
69,8081/2,223,C44.8
69,8081/2,224,C44.9
69,8081/2,262,C51.0
69,8081/2,263,C51.1
69,8081/2,264,C51.2
69,8081/2,265,C51.8
69,8081/2,266,C51.9
69,8081/2,298,C60.0
69,8081/2,299,C60.1
69,8081/2,300,C60.2
69,8081/2,301,C60.8
69,8081/2,302,C60.9
69,8081/2,312,C63.2
69,8081/2,341,C69.0
69,8081/2,342,C69.1
70,8082/3,3,C00.0
70,8082/3,4,C00.1
70,8082/3,5,C00.2
70,8082/3,6,C00.3
70,8082/3,7,C00.4
70,8082/3,8,C00.5
70,8082/3,9,C00.6
70,8082/3,10,C00.8
70,8082/3,11,C00.9
70,8082/3,13,C01.9
70,8082/3,15,C02.0
70,8082/3,16,C02.1
70,8082/3,17,C02.2
70,8082/3,18,C02.3
70,8082/3,19,C02.4
70,8082/3,20,C02.8
70,8082/3,21,C02.9
70,8082/3,23,C03.0
70,8082/3,24,C03.1
70,8082/3,25,C03.9
70,8082/3,27,C04.0
70,8082/3,28,C04.1
70,8082/3,29,C04.8
70,8082/3,30,C04.9
70,8082/3,32,C05.0
70,8082/3,33,C05.1
70,8082/3,34,C05.2
70,8082/3,35,C05.8
70,8082/3,36,C05.9
70,8082/3,38,C06.0
70,8082/3,39,C06.1
70,8082/3,40,C06.2
70,8082/3,41,C06.8
70,8082/3,42,C06.9
70,8082/3,44,C07.9
70,8082/3,46,C08.0
70,8082/3,47,C08.1
70,8082/3,48,C08.8
70,8082/3,49,C08.9
70,8082/3,51,C09.0
70,8082/3,52,C09.1
70,8082/3,53,C09.8
70,8082/3,54,C09.9
70,8082/3,56,C10.0
70,8082/3,57,C10.1
70,8082/3,58,C10.2
70,8082/3,59,C10.3
70,8082/3,60,C10.4
70,8082/3,61,C10.8
70,8082/3,62,C10.9
70,8082/3,64,C11.0
70,8082/3,65,C11.1
70,8082/3,66,C11.2
70,8082/3,67,C11.3
70,8082/3,68,C11.8
70,8082/3,69,C11.9
70,8082/3,71,C12.9
70,8082/3,73,C13.0
70,8082/3,74,C13.1
70,8082/3,75,C13.2
70,8082/3,76,C13.8
70,8082/3,77,C13.9
70,8082/3,79,C14.0
70,8082/3,80,C14.2
70,8082/3,81,C14.8
70,8082/3,93,C16.0
70,8082/3,94,C16.1
70,8082/3,95,C16.2
70,8082/3,96,C16.3
70,8082/3,97,C16.4
70,8082/3,98,C16.5
70,8082/3,99,C16.6
70,8082/3,100,C16.8
70,8082/3,101,C16.9
70,8082/3,154,C30.0
70,8082/3,155,C30.1
70,8082/3,157,C31.0
70,8082/3,158,C31.1
70,8082/3,159,C31.2
70,8082/3,160,C31.3
70,8082/3,161,C31.8
70,8082/3,162,C31.9
70,8082/3,164,C32.0
70,8082/3,165,C32.1
70,8082/3,166,C32.2
70,8082/3,167,C32.3
70,8082/3,168,C32.8
70,8082/3,169,C32.9
70,8082/3,171,C33.9
70,8082/3,173,C34.0
70,8082/3,174,C34.1
70,8082/3,175,C34.2
70,8082/3,176,C34.3
70,8082/3,177,C34.8
70,8082/3,178,C34.9
70,8082/3,215,C44.0
70,8082/3,216,C44.1
70,8082/3,217,C44.2
70,8082/3,218,C44.3
70,8082/3,219,C44.4
70,8082/3,220,C44.5
70,8082/3,221,C44.6
70,8082/3,222,C44.7
70,8082/3,223,C44.8
70,8082/3,224,C44.9
70,8082/3,270,C53.0
70,8082/3,271,C53.1
70,8082/3,272,C53.8
70,8082/3,273,C53.9
70,8082/3,320,C65.9
70,8082/3,322,C66.9
70,8082/3,324,C67.0
119,8147/3,35,C05.8
119,8147/3,36,C05.9
119,8147/3,38,C06.0
119,8147/3,39,C06.1
119,8147/3,40,C06.2
119,8147/3,41,C06.8
119,8147/3,42,C06.9
119,8147/3,44,C07.9
119,8147/3,46,C08.0
119,8147/3,47,C08.1
119,8147/3,48,C08.8
119,8147/3,49,C08.9
119,8147/3,51,C09.0
119,8147/3,52,C09.1
119,8147/3,53,C09.8
119,8147/3,54,C09.9
119,8147/3,56,C10.0
119,8147/3,57,C10.1
119,8147/3,58,C10.2
119,8147/3,59,C10.3
119,8147/3,60,C10.4
119,8147/3,61,C10.8
119,8147/3,62,C10.9
119,8147/3,64,C11.0
119,8147/3,65,C11.1
119,8147/3,66,C11.2
119,8147/3,67,C11.3
119,8147/3,68,C11.8
119,8147/3,69,C11.9
119,8147/3,71,C12.9
119,8147/3,73,C13.0
119,8147/3,74,C13.1
119,8147/3,75,C13.2
119,8147/3,76,C13.8
119,8147/3,77,C13.9
119,8147/3,79,C14.0
119,8147/3,80,C14.2
119,8147/3,81,C14.8
119,8147/3,154,C30.0
119,8147/3,155,C30.1
119,8147/3,157,C31.0
119,8147/3,158,C31.1
119,8147/3,159,C31.2
119,8147/3,160,C31.3
119,8147/3,161,C31.8
119,8147/3,162,C31.9
119,8147/3,164,C32.0
119,8147/3,165,C32.1
119,8147/3,166,C32.2
119,8147/3,167,C32.3
119,8147/3,168,C32.8
119,8147/3,169,C32.9
119,8147/3,251,C50.0
119,8147/3,252,C50.1
119,8147/3,253,C50.2
119,8147/3,254,C50.3
119,8147/3,255,C50.4
119,8147/3,256,C50.5
119,8147/3,257,C50.6
119,8147/3,258,C50.8
119,8147/3,259,C50.9
119,8147/3,304,C61.9
391,8551/3,6,C00.3
390,8550/3,6,C00.3
391,8551/3,7,C00.4
390,8550/3,7,C00.4
391,8551/3,8,C00.5
390,8550/3,8,C00.5
391,8551/3,13,C01.9
390,8550/3,13,C01.9
391,8551/3,15,C02.0
390,8550/3,15,C02.0
391,8551/3,16,C02.1
390,8550/3,16,C02.1
391,8551/3,17,C02.2
390,8550/3,17,C02.2
391,8551/3,18,C02.3
390,8550/3,18,C02.3
391,8551/3,19,C02.4
390,8550/3,19,C02.4
391,8551/3,20,C02.8
390,8550/3,20,C02.8
391,8551/3,21,C02.9
390,8550/3,21,C02.9
391,8551/3,23,C03.0
390,8550/3,23,C03.0
391,8551/3,24,C03.1
390,8550/3,24,C03.1
391,8551/3,25,C03.9
390,8550/3,25,C03.9
391,8551/3,27,C04.0
390,8550/3,27,C04.0
391,8551/3,28,C04.1
390,8550/3,28,C04.1
391,8551/3,29,C04.8
390,8550/3,29,C04.8
391,8551/3,30,C04.9
390,8550/3,30,C04.9
391,8551/3,32,C05.0
390,8550/3,32,C05.0
391,8551/3,33,C05.1
390,8550/3,33,C05.1
391,8551/3,34,C05.2
390,8550/3,34,C05.2
391,8551/3,35,C05.8
390,8550/3,35,C05.8
391,8551/3,36,C05.9
390,8550/3,36,C05.9
391,8551/3,38,C06.0
390,8550/3,38,C06.0
391,8551/3,39,C06.1
390,8550/3,39,C06.1
391,8551/3,40,C06.2
390,8550/3,40,C06.2
391,8551/3,41,C06.8
390,8550/3,41,C06.8
391,8551/3,42,C06.9
390,8550/3,42,C06.9
391,8551/3,44,C07.9
390,8550/3,44,C07.9
391,8551/3,46,C08.0
390,8550/3,46,C08.0
391,8551/3,47,C08.1
390,8550/3,47,C08.1
391,8551/3,48,C08.8
390,8550/3,48,C08.8
391,8551/3,49,C08.9
390,8550/3,49,C08.9
391,8551/3,140,C25.0
390,8550/3,140,C25.0
391,8551/3,141,C25.1
390,8550/3,141,C25.1
391,8551/3,142,C25.2
390,8550/3,142,C25.2
391,8551/3,143,C25.3
390,8550/3,143,C25.3
391,8551/3,144,C25.4
390,8550/3,144,C25.4
391,8551/3,145,C25.7
390,8550/3,145,C25.7
391,8551/3,146,C25.8
390,8550/3,146,C25.8
391,8551/3,147,C25.9
390,8550/3,147,C25.9
391,8551/3,154,C30.0
390,8550/3,154,C30.0
391,8551/3,155,C30.1
390,8550/3,155,C30.1
391,8551/3,157,C31.0
390,8550/3,157,C31.0
391,8551/3,158,C31.1
390,8550/3,158,C31.1
391,8551/3,159,C31.2
390,8550/3,159,C31.2
391,8551/3,160,C31.3
390,8550/3,160,C31.3
391,8551/3,161,C31.8
390,8550/3,161,C31.8
391,8551/3,162,C31.9
390,8550/3,162,C31.9
391,8551/3,164,C32.0
390,8550/3,164,C32.0
391,8551/3,165,C32.1
390,8550/3,165,C32.1
391,8551/3,166,C32.2
390,8550/3,166,C32.2
391,8551/3,167,C32.3
390,8550/3,167,C32.3
391,8551/3,168,C32.8
390,8550/3,168,C32.8
391,8551/3,169,C32.9
390,8550/3,169,C32.9
391,8551/3,171,C33.9
390,8550/3,171,C33.9
391,8551/3,173,C34.0
390,8550/3,173,C34.0
391,8551/3,174,C34.1
390,8550/3,174,C34.1
391,8551/3,175,C34.2
390,8550/3,175,C34.2
391,8551/3,176,C34.3
390,8550/3,176,C34.3
391,8551/3,177,C34.8
390,8550/3,177,C34.8
391,8551/3,178,C34.9
390,8550/3,178,C34.9
391,8551/3,304,C61.9
390,8550/3,304,C61.9
391,8551/3,409,C80.9
390,8550/3,409,C80.9
381,8525/3,6,C00.3
381,8525/3,7,C00.4
381,8525/3,8,C00.5
381,8525/3,13,C01.9
381,8525/3,15,C02.0
381,8525/3,16,C02.1
381,8525/3,17,C02.2
381,8525/3,18,C02.3
381,8525/3,19,C02.4
381,8525/3,20,C02.8
381,8525/3,21,C02.9
381,8525/3,23,C03.0
381,8525/3,24,C03.1
381,8525/3,25,C03.9
381,8525/3,27,C04.0
381,8525/3,28,C04.1
381,8525/3,29,C04.8
381,8525/3,30,C04.9
381,8525/3,32,C05.0
381,8525/3,33,C05.1
381,8525/3,34,C05.2
381,8525/3,35,C05.8
381,8525/3,36,C05.9
381,8525/3,38,C06.0
381,8525/3,39,C06.1
381,8525/3,40,C06.2
381,8525/3,41,C06.8
381,8525/3,42,C06.9
381,8525/3,44,C07.9
381,8525/3,46,C08.0
381,8525/3,47,C08.1
381,8525/3,48,C08.8
381,8525/3,49,C08.9
381,8525/3,154,C30.0
381,8525/3,157,C31.0
381,8525/3,158,C31.1
381,8525/3,159,C31.2
381,8525/3,160,C31.3
381,8525/3,161,C31.8
381,8525/3,162,C31.9
633,8941/3,6,C00.3
633,8941/3,7,C00.4
633,8941/3,8,C00.5
633,8941/3,27,C04.0
633,8941/3,28,C04.1
633,8941/3,29,C04.8
633,8941/3,30,C04.9
633,8941/3,32,C05.0
633,8941/3,33,C05.1
633,8941/3,34,C05.2
633,8941/3,35,C05.8
633,8941/3,36,C05.9
633,8941/3,38,C06.0
633,8941/3,39,C06.1
633,8941/3,40,C06.2
633,8941/3,41,C06.8
633,8941/3,42,C06.9
633,8941/3,44,C07.9
633,8941/3,46,C08.0
633,8941/3,47,C08.1
633,8941/3,48,C08.8
633,8941/3,49,C08.9
633,8941/3,154,C30.0
632,8940/3,6,C00.3
632,8940/3,7,C00.4
632,8940/3,8,C00.5
632,8940/3,27,C04.0
632,8940/3,28,C04.1
632,8940/3,29,C04.8
632,8940/3,30,C04.9
632,8940/3,32,C05.0
632,8940/3,33,C05.1
632,8940/3,34,C05.2
632,8940/3,35,C05.8
632,8940/3,36,C05.9
632,8940/3,38,C06.0
632,8940/3,39,C06.1
632,8940/3,40,C06.2
632,8940/3,41,C06.8
632,8940/3,42,C06.9
632,8940/3,44,C07.9
632,8940/3,46,C08.0
632,8940/3,47,C08.1
632,8940/3,48,C08.8
632,8940/3,49,C08.9
632,8940/3,154,C30.0
